"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Count","Nsites","Density (gm/cc)","Volume","Has Bandstructure","Crystal System",""
"mp-775161","Li2Ti3VO8","P4332","-3.123","0","0.553","","56","3.652","611.915","true","cubic",""
"mp-775564","Li2TiV3O8","P212121","-2.731","0.006","1.232","","56","3.758","605.515","true","orthorhombic",""
"mp-764774","LiTi2V3O12","P21/c","-2.762","0.007","2.303","","72","2.853","1041.732","true","monoclinic",""
"mp-775049","Li5Ti2V5O12","C2","-2.609","0.007","0.177","","24","4.159","230.438","true","monoclinic",""
"mp-763978","Li5Ti2V3O10","P1","-2.707","0.01","0.298","","20","3.907","188.369","true","triclinic",""
"mp-764005","Li4TiV3O8","C2/m","-2.619","0.011","0.017","","16","3.893","152.049","true","monoclinic",""
"mp-771002","Li2TiVO4","P1","-2.76","0.014","0.481","","24","3.84","229.212","true","triclinic",""
"mp-771862","Li2Ti3VO8","R3m","-3.108","0.016","0.000","","14","3.656","152.782","true","trigonal",""
"mp-762150","LiTi2V3O12","P1","-2.752","0.017","2.336","","72","2.895","1026.814","false","triclinic",""
"mp-777694","Li4Ti3V5O16","P1","-2.823","0.017","1.077","","28","3.839","295.05","true","triclinic",""
"mp-774128","Li2TiV3O8","R3m","-2.716","0.02","0.006","","14","3.766","151.041","true","trigonal",""
"mp-774230","Li4Ti5V3O16","Cm","-3.011","0.022","0.630","","28","3.789","296.256","true","monoclinic",""
"mp-778325","Li2TiV3O8","Cc","-2.713","0.023","1.208","","28","3.899","291.759","true","monoclinic",""
"mp-763676","Li4Ti2V5O12","P21","-2.642","0.023","0.269","","46","4.154","455.903","true","monoclinic",""
"mp-763993","Li2TiVO4","P1","-2.75","0.025","0.000","","24","3.852","228.473","true","triclinic",""
"mp-771615","Li2TiVO4","Imma","-2.749","0.025","0.000","","16","3.855","152.208","true","orthorhombic",""
"mp-763982","Li3TiV2O6","C2/m","-2.651","0.027","0.000","","12","3.876","114.212","true","monoclinic",""
"mp-770760","Li2TiVO5","P4/nmm","-2.819","0.03","2.283","","18","3.077","207.944","true","tetragonal",""
