No.,compound,valence,RA(pm)Ⅻ,RB(pm)Ⅵ,RA/RB,polA,polB,polA-polB,negA,negB,negB-negA,NegA(Bau),NegB(Bau),Neg(B-A),ZA,ZB,RA(ai),RB(ai),ZA/RA,ZB/RB,(ZA/RA)/(ZB/RB),(ZA/RA)+(ZB/RB),Y,C
24,PbSnO3,2 4,163.00,83.00,1.96,2.00,0.50,1.50,1.24,1.58,0.34,1.60,1.90,0.30,8.10,7.40,1.63,0.83,4.97,8.92,0.56,13.88,A,0
25,"Pb(Cd1/3,Mn1/3,W1/3) O3",2 2 4 6,163.00,83.33,1.96,2.00,0.53,1.47,1.24,1.80,0.56,1.60,1.93,0.33,8.10,5.38,1.63,0.83,4.97,6.46,0.77,11.43,A,0
26,BiFeO3,3 3,147.00,78.50,1.87,1.74,0.34,1.40,1.40,1.69,0.29,1.80,1.80,0.00,8.90,4.40,1.47,0.79,6.05,5.61,1.08,11.66,A,0
27,BiMnO3,3 3,147.00,78.50,1.87,1.74,0.33,1.41,1.40,1.50,0.10,1.80,1.50,-0.30,8.90,4.15,1.47,0.79,6.05,5.29,1.15,11.34,A,0
28,"Pb(Fe2/3,U1/3) O3",2 3 6,163.00,81.33,2.00,2.00,0.39,1.61,1.24,1.76,0.52,1.60,1.83,0.23,8.10,4.13,1.63,0.81,4.97,5.08,0.98,10.05,A,0
29,"Pb(Mg,Te)1/2 O3",2 2 6,163.00,78.00,2.09,2.00,0.18,1.82,1.24,1.57,0.33,1.60,1.65,0.05,8.10,5.95,1.63,0.78,4.97,7.63,0.65,12.60,A,0
30,"Pb(Co,Te)1/2 O3",2 2 6,163.00,79.25,2.06,2.00,0.36,1.64,1.24,1.70,0.46,1.60,1.90,0.30,8.10,6.83,1.63,0.79,4.97,8.61,0.58,13.58,A,0
31,"Pb(Ni,Te)1/2 O3",2 2 6,163.00,76.50,2.13,2.00,0.32,1.68,1.24,1.72,0.48,1.60,1.95,0.35,8.10,6.95,1.63,0.77,4.97,9.08,0.55,14.05,A,0
32,"Pb(Zn,Te)1/2 O3",2 2 6,163.00,79.00,2.06,2.00,0.27,1.73,1.24,1.68,0.44,1.60,1.85,0.25,8.10,7.20,1.63,0.79,4.97,9.11,0.55,14.08,A,0
33,"Pb(Mn,Te)1/2 O3",2 2 6,163.00,83.50,1.95,2.00,0.39,1.61,1.24,1.68,0.44,1.60,1.75,0.15,8.10,6.58,1.63,0.84,4.97,7.87,0.63,12.84,A,0
34,"Pb(Cd,Te)1/2 O3",2 2 6,163.00,89.50,1.82,2.00,0.68,1.32,1.24,1.63,0.39,1.60,1.90,0.30,8.10,7.70,1.63,0.90,4.97,8.60,0.58,13.57,A,0
